check_in,check_out,nights,villa_name,platform
2022-08-04,2022-08-11,7,surya,direct
2022-08-12,2022-08-13,1,jala,direct
2022-04-20,2022-04-21,1,chandra,direct
2022-04-20,2022-04-23,3,surya,direct
2022-04-27,2022-04-28,1,chandra,direct
2022-04-30,2022-05-02,2,chandra,direct
2022-05-29,2022-05-30,1,surya,direct
2022-05-29,2022-05-30,1,jala,direct
2022-11-03,2022-11-04,1,surya,direct
2022-11-17,2022-11-18,1,surya,direct
2022-11-27,2022-11-28,1,jala,direct
2022-12-01,2022-12-02,1,jala,direct
2022-09-01,2022-09-10,9,surya,direct
2022-09-03,2022-09-15,12,chandra,direct
2022-05-03,2022-05-10,7,chandra,direct
2022-07-23,2022-07-27,4,surya,direct
2022-07-27,2022-07-30,3,jala,direct
2022-06-11,2022-06-13,2,surya,direct
2022-06-26,2022-06-27,1,jala,website
2022-12-03,2022-12-05,2,jala,website
2022-11-18,2022-11-19,1,jala,direct
2022-04-25,2022-05-02,7,surya,tripadvisor
2022-12-28,2022-12-31,3,chandra,airbnb
2022-12-25,2022-12-28,3,chandra,airbnb
2022-12-24,2022-12-25,1,chandra,airbnb
2022-12-23,2022-12-27,4,surya,airbnb
2022-12-21,2022-12-22,1,surya,airbnb
2022-12-20,2022-12-24,4,chandra,airbnb
2022-12-19,2022-12-20,1,surya,airbnb
2022-12-17,2022-12-20,3,chandra,airbnb
2022-12-17,2022-12-19,2,surya,airbnb
2022-12-16,2022-12-17,1,surya,airbnb
2022-12-15,2022-12-17,2,chandra,airbnb
2022-12-09,2022-12-12,3,jala,airbnb
2022-12-08,2022-12-16,8,surya,airbnb
2022-12-08,2022-12-13,5,chandra,airbnb
2022-12-05,2022-12-08,3,surya,airbnb
2022-12-01,2022-12-05,4,surya,airbnb
2022-11-28,2022-12-01,3,surya,airbnb
2022-11-28,2022-12-01,3,chandra,airbnb
2022-11-28,2022-12-01,3,jala,airbnb
2022-11-26,2022-11-28,2,chandra,airbnb
2022-11-25,2022-11-28,3,surya,airbnb
2022-11-25,2022-11-27,2,jala,airbnb
2022-11-25,2022-11-26,1,chandra,airbnb
2022-11-24,2022-11-25,1,chandra,airbnb
2022-11-23,2022-11-25,2,surya,airbnb
2022-11-23,2022-11-25,2,jala,airbnb
2022-11-22,2022-11-24,2,chandra,airbnb
2022-11-21,2022-11-22,1,chandra,airbnb
2022-11-19,2022-11-20,1,jala,airbnb
2022-11-18,2022-11-21,3,surya,airbnb
2022-11-16,2022-11-21,5,chandra,airbnb
2022-11-14,2022-11-17,3,surya,airbnb
2022-11-10,2022-11-14,4,surya,airbnb
2022-11-09,2022-11-16,7,jala,airbnb
2022-11-09,2022-11-10,1,surya,airbnb
2022-11-07,2022-11-09,2,surya,airbnb
2022-11-07,2022-11-09,2,jala,airbnb
2022-11-06,2022-11-07,1,surya,airbnb
2022-11-04,2022-11-05,1,surya,airbnb
2022-11-02,2022-11-03,1,surya,airbnb
2022-10-31,2022-11-02,2,surya,airbnb
2022-10-28,2022-10-30,2,jala,airbnb
2022-10-24,2022-10-26,2,chandra,airbnb
2022-10-26,2022-11-01,6,chandra,airbnb
2022-10-26,2022-10-31,5,surya,airbnb
2022-10-21,2022-10-22,1,jala,airbnb
2022-10-21,2022-10-23,2,surya,airbnb
2022-10-20,2022-10-21,1,surya,airbnb
2022-10-19,2022-10-21,2,jala,airbnb
2022-10-18,2022-10-20,2,surya,airbnb
2022-10-17,2022-10-19,2,chandra,airbnb
2022-10-16,2022-10-18,2,surya,airbnb
2022-10-14,2022-10-17,3,chandra,airbnb
2022-10-12,2022-10-14,2,chandra,airbnb
2022-10-12,2022-10-15,3,surya,airbnb
2022-10-12,2022-10-13,1,chandra,airbnb
2022-10-07,2022-10-10,3,chandra,airbnb
2022-10-05,2022-10-07,2,chandra,airbnb
2022-10-01,2022-10-05,4,chandra,airbnb
2022-09-29,2022-10-01,2,chandra,airbnb
2022-09-29,2022-10-10,11,surya,airbnb
2022-09-27,2022-09-28,1,jala,airbnb
2022-09-26,2022-09-27,1,jala,airbnb
2022-09-26,2022-09-27,1,chandra,airbnb
2022-09-22,2022-09-29,7,surya,airbnb
2022-09-21,2022-09-22,1,surya,airbnb
2022-09-20,2022-09-22,2,chandra,airbnb
2022-09-19,2022-09-20,1,jala,airbnb
2022-09-19,2022-09-20,1,chandra,airbnb
2022-09-17,2022-09-18,1,jala,airbnb
2022-09-17,2022-09-21,4,surya,airbnb
2022-09-15,2022-09-17,2,surya,airbnb
2022-09-15,2022-09-17,2,jala,airbnb
2022-09-15,2022-09-19,4,chandra,airbnb
2022-09-14,2022-09-15,1,surya,airbnb
2022-09-13,2022-09-14,1,surya,airbnb
2022-09-11,2022-09-15,4,jala,airbnb
2022-09-11,2022-09-13,2,surya,airbnb
2022-09-10,2022-09-11,1,surya,airbnb
2022-09-02,2022-09-03,1,chandra,airbnb
2022-08-31,2022-09-01,1,surya,airbnb
2022-08-30,2022-08-31,1,surya,airbnb
2022-08-30,2022-09-02,3,chandra,airbnb
2022-08-28,2022-08-29,1,chandra,airbnb
2022-08-26,2022-08-28,2,chandra,airbnb
2022-08-25,2022-08-28,3,jala,airbnb
2022-08-24,2022-08-25,1,jala,airbnb
2022-08-22,2022-08-23,1,surya,airbnb
2022-08-21,2022-08-22,1,surya,airbnb
2022-08-18,2022-08-19,1,jala,airbnb
2022-08-15,2022-08-18,3,chandra,airbnb
2022-08-14,2022-08-21,7,surya,airbnb
2022-08-13,2022-08-14,1,surya,airbnb
2022-08-13,2022-08-15,2,chandra,airbnb
2022-08-12,2022-08-13,1,chandra,airbnb
2022-08-11,2022-08-13,2,surya,airbnb
2022-08-08,2022-08-10,2,jala,airbnb
2022-08-07,2022-08-11,4,chandra,airbnb
2022-08-05,2022-08-07,2,chandra,airbnb
2022-08-03,2022-08-05,2,chandra,airbnb
2022-08-02,2022-08-03,1,chandra,airbnb
2022-07-31,2022-08-02,2,chandra,airbnb
2022-07-31,2022-08-04,4,surya,airbnb
2022-07-30,2022-07-31,1,jala,airbnb
2022-07-29,2022-07-31,2,chandra,airbnb
2022-07-27,2022-07-31,4,surya,airbnb
2022-07-26,2022-07-28,2,chandra,airbnb
2022-07-23,2022-07-26,3,jala,airbnb
2022-07-18,2022-07-22,4,chandra,airbnb
2022-07-18,2022-07-22,4,surya,airbnb
2022-07-14,2022-07-18,4,chandra,airbnb
2022-07-12,2022-07-18,6,surya,airbnb
2022-07-11,2022-07-14,3,chandra,airbnb
2022-07-10,2022-07-11,1,jala,airbnb
2022-07-09,2022-07-12,3,surya,airbnb
2022-07-05,2022-07-10,5,jala,airbnb
2022-07-05,2022-07-11,6,chandra,airbnb
2022-07-03,2022-07-05,2,chandra,airbnb
2022-07-01,2022-07-03,2,chandra,airbnb
2022-06-29,2022-07-01,2,chandra,airbnb
2022-06-27,2022-06-29,2,chandra,airbnb
2022-06-26,2022-06-27,1,chandra,airbnb
2022-06-26,2022-06-27,1,surya,airbnb
2022-06-24,2022-06-26,2,chandra,airbnb
2022-06-21,2022-06-25,4,surya,airbnb
2022-06-21,2022-06-24,3,chandra,airbnb
2022-06-20,2022-06-21,1,jala,airbnb
2022-06-18,2022-06-20,2,surya,airbnb
2022-06-18,2022-06-20,2,surya,airbnb
2022-06-16,2022-06-18,2,surya,airbnb
2022-06-15,2022-06-16,1,surya,airbnb
2022-06-13,2022-06-16,3,chandra,airbnb
2022-06-13,2022-06-15,2,surya,airbnb
2022-06-12,2022-06-13,1,chandra,airbnb
2022-06-12,2022-06-13,1,jala,airbnb
2022-06-07,2022-06-11,4,surya,airbnb
2022-06-06,2022-06-12,6,chandra,airbnb
2022-06-05,2022-06-06,1,chandra,airbnb
2022-06-04,2022-06-05,1,chandra,airbnb
2022-06-03,2022-06-07,4,surya,airbnb
2022-06-02,2022-06-03,1,surya,airbnb
2022-06-01,2022-06-04,3,chandra,airbnb
2022-05-30,2022-06-02,3,surya,airbnb
2022-05-28,2022-05-29,1,surya,airbnb
2022-05-24,2022-05-31,7,chandra,airbnb
2022-05-24,2022-05-29,5,jala,airbnb
2022-05-21,2022-05-23,2,chandra,airbnb
2022-05-21,2022-05-24,3,surya,airbnb
2022-05-18,2022-05-21,3,chandra,airbnb
2022-05-16,2022-05-18,2,chandra,airbnb
2022-05-14,2022-05-15,1,chandra,airbnb
2022-05-12,2022-05-13,1,surya,airbnb
2022-05-11,2022-05-13,2,chandra,airbnb
2022-05-10,2022-05-12,2,surya,airbnb
2022-05-10,2022-05-24,14,jala,airbnb
2022-05-06,2022-05-07,1,jala,airbnb
2022-05-03,2022-05-10,7,surya,airbnb
2022-04-28,2022-04-30,2,chandra,airbnb
2022-04-21,2022-04-25,4,chandra,airbnb
2022-04-13,2022-04-17,4,chandra,airbnb
2022-04-09,2022-04-11,2,chandra,airbnb
2022-03-05,2022-03-06,1,chandra,airbnb
2022-03-12,2022-04-09,28,chandra,airbnb
2022-03-14,2022-04-13,30,jala,airbnb
2022-03-22,2022-04-04,13,surya,airbnb
2022-10-09,2022-10-10,1,jala,agoda
2022-11-21,2022-11-22,1,surya,agoda
2022-07-11,2022-07-12,1,jala,agoda
2022-12-07,2022-12-08,1,jala,agoda
2022-12-28,2022-12-29,1,jala,agoda
2022-12-27,2022-12-28,1,jala,agoda
2022-12-22,2022-12-23,1,surya,agoda
2022-11-22,2022-11-23,1,surya,agoda
2022-12-13,2022-12-14,1,chandra,agoda
2022-12-22,2022-12-23,1,jala,agoda
2022-12-31,2023-01-01,1,jala,agoda
2022-04-23,2022-04-25,2,surya,booking
2022-04-19,2022-04-20,1,jala,booking
2022-04-17,2022-04-19,2,surya,booking
2022-04-17,2022-04-19,2,chandra,booking
2022-06-06,2022-06-12,6,jala,booking
2022-06-03,2022-06-06,3,jala,booking
2022-06-02,2022-06-03,1,jala,booking
2022-05-31,2022-06-02,2,jala,booking
2022-05-24,2022-05-26,2,surya,booking
2022-05-19,2022-05-20,1,surya,booking
2022-05-17,2022-05-18,1,surya,booking
2022-05-14,2022-05-16,2,surya,booking
2022-05-05,2022-05-06,1,jala,booking
2022-05-03,2022-05-05,2,jala,booking
2022-05-02,2022-05-03,1,surya,booking
2022-04-30,2022-05-03,3,jala,booking
2022-05-02,2022-05-03,1,chandra,booking
2022-06-28,2022-07-01,3,jala,booking
2022-06-21,2022-06-25,4,jala,booking
2022-06-17,2022-06-21,4,chandra,booking
2022-06-13,2022-06-19,6,jala,booking
2022-07-16,2022-07-22,6,jala,booking
2022-07-15,2022-07-16,1,jala,booking
2022-07-12,2022-07-15,3,jala,booking
2022-06-28,2022-07-09,11,surya,booking
2022-07-04,2022-07-05,1,jala,booking
2022-07-01,2022-07-04,3,jala,booking
2022-08-25,2022-08-30,5,surya,booking
2022-08-29,2022-08-30,1,chandra,booking
2022-08-28,2022-08-29,1,jala,booking
2022-08-21,2022-08-26,5,chandra,booking
2022-08-23,2022-08-24,1,surya,booking
2022-08-19,2022-08-24,5,jala,booking
2022-08-20,2022-08-21,1,chandra,booking
2022-08-18,2022-08-20,2,chandra,booking
2022-08-14,2022-08-18,4,jala,booking
2022-08-13,2022-08-14,1,jala,booking
2022-08-10,2022-08-12,2,jala,booking
2022-08-11,2022-08-12,1,chandra,booking
2022-07-31,2022-08-08,8,jala,booking
2022-09-27,2022-09-29,2,chandra,booking
2022-09-24,2022-09-26,2,chandra,booking
2022-09-21,2022-09-26,5,jala,booking
2022-09-22,2022-09-23,1,chandra,booking
2022-09-20,2022-09-21,1,jala,booking
2022-09-10,2022-09-11,1,jala,booking
2022-09-07,2022-09-10,3,jala,booking
2022-09-03,2022-09-07,4,jala,booking
2022-08-29,2022-09-03,5,jala,booking
2022-10-23,2022-10-27,4,jala,booking
2022-10-19,2022-10-24,5,chandra,booking
2022-10-22,2022-10-23,1,jala,booking
2022-10-14,2022-10-16,2,jala,booking
2022-10-12,2022-10-14,2,jala,booking
2022-10-10,2022-10-12,2,surya,booking
2022-10-10,2022-10-12,2,jala,booking
2022-10-08,2022-10-09,1,jala,booking
2022-10-07,2022-10-08,1,jala,booking
2022-10-05,2022-10-07,2,jala,booking
2022-09-28,2022-10-05,7,jala,booking
2022-11-20,2022-11-23,3,jala,booking
2022-11-16,2022-11-18,2,jala,booking
2022-11-01,2022-11-15,14,chandra,booking
2022-11-03,2022-11-07,4,jala,booking
2022-11-05,2022-11-06,1,surya,booking
2022-10-30,2022-11-03,4,jala,booking
2022-12-29,2022-12-31,2,jala,booking
2022-12-23,2022-12-27,4,jala,booking
2022-12-20,2022-12-22,2,jala,booking
2022-12-20,2022-12-21,1,surya,booking
2022-12-16,2022-12-19,3,jala,booking
2022-12-12,2022-12-15,3,jala,booking
2022-12-02,2022-12-07,5,chandra,booking
